C=1.000000	gamma=2.0
# result for fold 1
1	0.9911439122538077
1	0.9432163968667232
1	0.9904709220122286
1	0.9724288955825392
1	0.9182440379198298
1	0.9937487145024477
1	0.25620008169488373
1	0.9966675073007301
1	0.9861977103998298
1	0.9933946993265208
1	0.9999891533051203
1	0.9746753296047179
1	0.9847823287193646
1	0.9831723630544364
1	0.9942349380475102
1	0.9999946785872299
1	0.9935965824767671
1	0.9858232678292733
1	0.9584985496969272
1	0.7181648817013743
1	0.9880836049447264
1	0.9919726098399593
1	0.9862782762157545
1	0.8479396905702781
0	0.3390877025085999
0	0.16937916245316204
0	0.5691376392392828
0	0.5909285846455534
0	0.38413957684489913
0	0.2719297748430543
0	0.9480891729416561
0	0.793261938478164
0	0.5
0	0.486680537627561
0	0.0778946529394208
0	0.36075138818304636
0	0.1390421552235138
0	0.25876494497933483
0	0.12375435383722001
0	0.06098366572293019
0	0.149196612405815
0	0.36539292873001805
0	0.19285730229551232
0	0.4056628716273488
0	0.6082018099682996
0	0.7044366724667366
0	0.435532064548475
0	0.22109738702492762
# result for fold 2
1	0.9608182154019661
1	0.9889842825580696
1	0.971705339664046
1	0.9569756007483264
1	0.8885291237102387
1	0.8936983836167623
1	0.8026929621484754
1	0.9774782276162448
1	0.9935599492785036
1	0.5637740862003648
1	0.8460493704293645
1	0.20917624509928648
1	0.9914311746225654
1	0.18477859886263856
1	0.9446361484203682
1	0.9647547170111349
1	0.9933012154427239
1	0.9841408172503416
1	0.9532879814609962
1	0.9644997978612929
1	0.9798647346289266
1	0.9951251543315401
1	0.9425674863520579
1	0.9967165425975008
0	0.42879467855972664
0	0.2780501190030104
0	0.02642683048375104
0	0.7052695746297523
0	0.12134385718603638
0	0.027333718716042933
0	0.13434064261738335
0	0.3127489380208695
0	0.6716905671201969
0	0.07258479333598256
0	0.07762222990940718
0	0.29220697141336716
0	0.16515984561887018
0	0.018297725280571584
0	0.0797820889121698
0	0.02650948446346061
0	0.5276952965610998
0	0.008800916680263237
0	0.04118558316818469
0	0.16267179008888877
0	0.11316953088339508
0	0.12395168055679563
0	0.12682124309824824
0	0.002759213160522987
# result for fold 3
1	0.9918957171357097
1	0.9837027056379393
1	0.9873053248518888
1	0.6166663277351389
1	0.8530471296091625
1	0.7680008301525473
1	0.9047970899265931
1	0.4279040744285362
1	0.999984434254841
1	0.9364693404332484
1	0.9684617975683718
1	0.9734690314141712
1	0.8430806951443542
1	0.9895660890270307
1	0.9083177752339229
1	0.988424725072506
1	0.9606290822029957
1	0.9968946114984921
1	0.8672171120555913
1	0.5190010605538509
1	0.932513625893025
1	0.44228816302912044
1	0.21906043264809408
1	0.9170216854570876
0	0.05462695281724455
0	0.05342956878715661
0	0.07342934731009675
0	0.09425432973325693
0	0.0036196118092535774
0	0.011869776484322829
0	0.01761474056753632
0	0.08032164810603427
0	0.08708662234554056
0	0.15006254150302162
0	0.012289853190902504
0	0.5
0	0.013468013180200815
0	0.05011466832488749
0	0.3521803466337643
0	0.022481408244406746
0	0.06048718099663606
0	0.08839557443472523
0	0.009051601938658229
0	0.060619583493204385
0	0.34597643748310974
0	0.4187530962670122
0	0.6585453600236071
0	0.29886033020695146
# result for fold 4
1	0.03376724389842259
1	0.9814763257124026
1	0.8299178607353493
1	0.30203863680477483
1	0.9587566601720482
1	0.299182128638928
1	0.696914898776219
1	0.7466175854594309
1	0.22117914789316398
1	0.9894134382862273
1	0.9717849784103765
1	0.8814400595751795
1	0.9955344389000732
1	0.5164284693209436
1	0.9746081694331231
1	0.8004591189585105
1	0.94140407581646
1	0.049420199129162734
1	0.98871137274843
1	0.9068841690551367
1	0.4419477253845534
1	0.8923943197196063
1	0.31439242986767973
1	0.7808236538500515
0	0.02143432323290908
0	0.005382577829927559
0	0.19016464467114258
0	0.04663158841716976
0	0.15474807964716591
0	0.010874678285182123
0	0.3461827452769148
0	0.07479771218572592
0	0.020507003287770633
0	0.2529549348079261
0	0.01399285038691054
0	0.11000168011983172
0	0.010263435558730619
0	0.13704845587034076
0	0.047345799043764764
0	0.019065792680257335
0	0.009801580544771536
0	0.027981523790785858
0	0.018164305207930345
0	0.6238121076463601
0	0.04302661149740235
0	0.018250018007163155
0	0.08591007925881063
0	0.30392811149825905
# result for fold 5
1	0.9125150405245355
1	0.4146901389064965
1	0.6020898832194387
1	0.9749012044146954
1	0.8281450337765917
1	0.6949513294854134
1	0.9019613615569181
1	0.7068809670003017
1	0.9082384047357541
1	0.7173938247457888
1	0.9721504254975853
1	0.46813765054481205
1	0.8699677789101726
1	0.023530564533625082
1	0.9729541769932134
1	0.8837816543752193
1	0.9649954771387987
1	0.1607455070560183
1	0.544039012997672
1	0.9803951451574895
1	0.9811067040794557
1	0.713395038106817
1	0.007539453181058454
1	0.0641003659660624
0	0.10158339840638
0	0.036554906203689536
0	0.005314034303232914
0	0.11563528089445742
0	0.003968391138285065
0	0.17696533469928794
0	0.13164790033218424
0	0.051807732580011326
0	0.25059094679221605
0	0.07177619580897486
0	0.1905463723432051
0	0.029783605134697484
0	0.018239292344834512
0	0.43298169236510414
0	0.2619590415400549
0	0.06026831426754991
0	0.1490262797537514
0	0.6472852544157487
0	0.3431387026614061
0	0.011119832428885952
0	0.036938500785686036
0	0.005040965583827834
0	0.09767130988359456
